gene_symbol	associated_genes
FBLIM1	ZYX,TRIP6,LPP,LIMD1,AJUBA,WTIP,TGFB1I1,PDLIM5,FHL3,LDB3,PXN,PDLIM7,FHL2,FHL5,LPXN,ABLIM1,LIMS2,LIMS1,FHL1,ABLIM3,LIMK1,PRICKLE2,PRICKLE1,ABLIM2,PRICKLE3,LIMK2,LHX5,LMO4,TES,LMO2,LHX3,LMO1,LHX1,LMX1B,LMX1A,LMO3,LHX4,PRICKLE4,ISL1,CSRP3,LHX8,LMCD1,ISL2,LHX2,LHX6,LHX9,CSRP2,LIMD2,CSRP1,LIMA1
ZER1	ZYG11B,ZYG11A
ZYG11A	ZYG11B,ZER1,FBXL13
ZXDA	ZXDB,ZXDC,ZNF782,ZNF41,ZNF585B,ZNF629,ZNF585A,ZNF182,ZNF235,ZNF180,ZNF484,ZNF436,ZNF143,ZNF45,ZNF615,PRDM5,ZNF567,ZNF234,ZNF76,ZNF658B,ZNF658,ZNF658B,ZNF568,ZNF544,ZNF717,ZSCAN2,ZNF846,ZNF227,ZNF497,ZNF35,ZNF774,ZNF226,ZNF84,ZNF84,ZNF211,ZNF136,ZNF425,ZNF596,ZNF300,ZNF551,ZNF835,ZNF668,ZNF33B,ZNF560,ZNF283,ZNF778,ZNF214,ZFP3,ZNF624,ZNF33A,MTF1,ZNF432,ZBTB17,ZNF768,ZNF267,ZNF57,ZNF676,ZNF569,ZNF649,ZNF160,ZFP28,ZFP2,ZNF184,ZFP112,ZNF74,ZNF883,ZNF43,ZNF37A,ZNF14,ZNF225,ZNF175,ZNF28,ZNF71,ZNF418,ZNF12,ZNF572,ZNF16,ZNF510,ZNF79,ZNF30,ZNF382,ZNF850,ZNF408,ZNF268,ZNF813,ZNF324,ZNF502,ZNF721,ZNF251,ZNF726,ZNF81,ZNF605,ZNF10,ZNF77,ZNF333,ZNF90,ZNF675,ZNF181,HKR1,ZNF530
ZNF414	ZXDB,ZXDA,ZXDC,KLF16,MTF1,ZNF692,ZNF225,ZNF471,KLF14,ZIM3,KLF11,MYNN,ZIC5,SP5,ZNF423,ZNF521,ZNF341,ZIC1,KLF10,ZNF362,ZNF143,ZIC4,ZNF687,ZIC2,ZNF236,ZNF322,ZIC3,ZNF384,ZNF668,ZNF322,ZNF594,ZNF347,SP3,PLAGL1,KLF1,ZNF354C,KLF15,ZNF774,ZSCAN10,ZNF319,PRDM5,ZFPM2,ZNF275,REPIN1
ZXDC	ZXDB,ZXDA,ZNF235,ZNF782,ZNF45,ZNF681,ZNF425,ZNF182,ZNF41,ZNF143,ZNF629,ZNF180,ZNF658B,ZNF658,ZNF658B,ZNF84,ZNF84,ZNF76,ZFP37,ZNF333,ZFP62,ZNF568,ZNF544,ZNF43,ZNF267,ZNF234,ZNF227,ZNF835,ZNF676,ZNF585B,ZNF71,ZNF726,ZNF774,ZNF846,ZNF226,ZNF79,ZNF436,ZNF90,ZNF708,ZNF567,ZNF585A,ZNF569,ZNF615,ZNF28,ZNF35,ZNF92,ZFP112,ZNF668,ZNF33A,ZNF33B,ZNF484,ZSCAN2,ZNF675,ZNF229,ZNF497,ZFP2,ZNF391,ZNF311,ZNF12,ZNF596,ZNF665,ZNF408,ZNF841,ZNF717,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF311,ZNF300,ZNF700,ZBTB17,MTF1,ZNF25,ZNF214,ZNF266,ZNF560,ZNF429,ZNF100,ZNF160,ZNF677,ZNF813,ZNF879,ZNF30,ZNF74,ZNF136,ZNF626,ZNF714,ZNF98,ZNF546,ZNF225,ZFP28,ZNF354B,ZNF382,ZNF710,ZNF433,ZNF486,ZNF224,ZNF418
CASZ1	ZXDB,ZNF143,ZXDA,ZNF714,ZXDC,KAT6B,ZNF506,ZNF658B,ZNF658B
GDA	ZXDB,  ZNF562,  NBR2,  CCDC125,  GDA,  ZNF41,  TAF8,  HDAC8,  C14orf102,  PDE12,  TMEM192,  SLC25A16,  RBM45,  PIGM,  PEX26,  ZNF155,  ZNF480
NEDD4	ZXDB,  NEDD4,  DIEXF,  WBSCR16,  B3GALNT2,  CASP8AP2,  IMMP2L,  RASA4,  HIPK3,  FAT4,  RASA4B,  RAPH1,  MBTPS2,  ALKBH8,  HFE,  UBXN2A,  AP4E1
ZXDB	ZXDA,ZXDC,ZNF41,ZNF782,ZNF585B,ZNF182,ZNF585A,ZNF180,ZNF629,ZNF235,ZNF484,ZNF45,ZNF143,ZNF436,ZNF234,ZNF615,PRDM5,ZNF567,ZNF76,ZNF658B,ZNF658,ZNF658B,ZNF544,ZSCAN2,ZNF568,ZNF717,ZNF226,ZNF84,ZNF84,ZNF846,ZNF497,ZNF35,ZFP2,ZNF211,ZNF774,ZNF425,ZNF300,ZNF33B,ZNF136,ZNF551,ZNF668,ZNF214,ZNF596,ZNF624,ZNF835,ZNF778,ZNF33A,ZNF560,ZNF227,ZFP28,MTF1,ZFP3,ZNF432,ZNF30,ZNF57,ZNF649,ZNF184,ZNF510,ZFP112,ZNF74,ZNF700,ZNF43,ZBTB17,ZNF267,ZNF676,ZNF569,ZNF571,ZNF175,ZNF160,ZNF71,ZNF879,ZNF12,ZNF79,ZNF850,ZNF268,ZNF883,ZNF81,ZNF37A,ZNF768,ZNF14,ZNF90,ZNF675,ZNF225,ZNF28,ZNF418,ZNF324,ZNF572,ZNF251,ZNF16,ZNF382,ZNF408,ZNF726,ZNF10,HKR1,ZNF813,ZNF324B,ZNF502,ZNF721,ZNF25,ZNF605
MED13	ZW10,  SMNDC1,  TGS1,  MED6,  PIK3R4,  GON4L,  KMT2C,  CRNKL1,  MLL3,  PPIE,  YY1AP1,  BIRC6,  KIAA1012,  TOPORS,  IK,  SNRNP40,  RPS6KB1,  RINT1,  LEMD3,  NCOA2,  CCNT1,  STAM2,  ASPRV1,  PCGF1,  HDAC2,  MED13,  TUBGCP3
MCEE	ZW10,  PEX2,  GTPBP3,  TRMT61B,  PHACTR4,  SLC35A2,  DHX32,  AKAP9,  TYW1,  C1orf27,  TDG,  RPS6KB1,  RINT1,  MFSD11,  C17orf101,  LARP4,  FAM18B,  MCEE,  PCGF1,  EXOSC6,  DNAJC17
RBP2	ZW10,  ORC2L,  SIN3A,  ELK4,  TGS1,  TAF2,  PRPF18,  AQR,  KDM5A,  CHTF8,  NUP160,  MAP3K2,  DUSP11,  ORC2,  RBP2,  RLF,  SLC45A3,  ZMYM5,  GTF3C3,  ADNP2,  EHMT1,  BRPF1,  RINT1,  CDK12,  RNF168,  CCNT1,  PIAS1,  MIER1,  IREB2
ZSWIM5	ZSWIM6,ZSWIM4,ZSWIM8
ZSWIM4	ZSWIM5,ZSWIM6,ZSWIM8
ZSWIM6	ZSWIM5,ZSWIM4,ZSWIM8
ZSWIM8	ZSWIM4,ZSWIM6,ZSWIM5,COL27A1,IGSF9B,YLPM1
ZSWIM1	ZSWIM3,MYH1
ZSWIM3	ZSWIM1,C19orf68
ZSCAN23	ZSCAN9,ZSCAN31,ZSCAN12,ZNF24,ZNF397,ZKSCAN8,ZSCAN16,ZSCAN30,ZNF232,ZSCAN21,ZNF165,ZKSCAN4,ZKSCAN3,ZNF213,ZSCAN2,ZSCAN22,ZNF75D,ZKSCAN5,ZNF396,ZNF394,ZNF500,ZNF551,ZNF250,ZKSCAN1,ZNF79,ZNF436,ZNF3,ZIK1,ZNF135,ZNF154,ZNF211,ZNF132,ZNF16,ZNF286A,ZKSCAN7,ZNF530,ZNF418,ZNF34,ZNF483,ZNF23,ZNF630,ZNF286B,ZNF883,ZFP90,ZNF420,ZNF180,ZNF773,ZNF256,ZFP2,ZNF84,ZNF84,ZNF829,ZNF629,ZFP3,ZNF461,ZNF502,ZNF879,ZNF251,ZNF189,ZNF850,ZNF300,ZNF37A,ZNF568,ZNF383,ZNF570,ZNF416,ZNF391,ZNF572,ZNF583,ZNF852,ZNF252P,ZNF350,ZNF17,ZNF586,ZNF70,ZNF594,ZNF527,ZNF585B,ZNF470,ZNF7,ZNF674,ZNF41,ZNF544,ZNF605,ZNF160,ZNF547,ZNF662,ZNF623,ZNF484,ZFP37,ZNF347,ZNF665,ZNF419,ZNF619,ZFP1,ZNF345,ZNF585A,ZNF415,ZNF146,ZNF485
ZSCAN4	ZSCAN5B,ZNF500,ZSCAN12,ZKSCAN3,ZSCAN30,ZNF18,ZKSCAN4,ZNF397,ZSCAN16,ZKSCAN8,ZSCAN22,ZSCAN5A,MZF1,ZKSCAN1,ZNF232,ZSCAN23,ZNF214,ZNF24,ZNF235,ZNF227,ZNF229,ZNF552,ZSCAN2,ZNF263,ZNF418,ZNF483,ZNF182,ZNF626,ZNF225,ZKSCAN7,ZNF510,ZNF99,ZNF25,ZNF664,ZNF91,ZNF613,ZNF628,ZNF718,ZNF572,ZNF630,ZNF449,ZNF84,ZNF84,ZNF233,ZNF629,ZNF93,ZNF8,ZNF662,ZNF782,ZSCAN20,ZNF205,ZNF287,ZNF486,ZNF570,ZNF224,ZNF658B,ZNF658B,REPIN1,ZNF729,ZNF300,ZNF211,ZFP69B,ZNF568,ZNF234,ZNF226,ZNF473,ZNF766,ZNF814,ZNF35,ZSCAN21,ZNF34,ZNF658,ZNF484,ZNF239,ZFP112,ZNF836,ZNF845,ZNF852,ZNF717,ZNF33A,ZNF10,ZNF569,ZNF221,ZNF180,ZNF16,ZNF41,ZNF583,ZNF736,ZFP69,ZFP1,ZNF253,ZNF493,ZNF567,ZNF45,ZNF175,ZNF17,ZNF587,ZNF135,PRDM9,ZNF713
ZSCAN5A	ZSCAN5B,ZKSCAN8,ZKSCAN1,ZNF263,ZSCAN31,ZNF18,ZKSCAN7,ZSCAN22,ZNF500,ZNF449,ZSCAN30,ZSCAN25,ZNF232,ZSCAN12,ZKSCAN3,ZKSCAN4,MZF1,ZNF782,ZNF182,ZNF28,ZNF554,ZNF470,ZNF84,ZNF84,ZNF605,ZNF629,ZFP2,ZNF658B,ZNF658,ZNF658B,ZNF41,ZNF717,ZNF570,ZNF551,ZNF135,ZNF34,ZFP37,ZNF883,ZNF227,ZNF71,ZNF184,ZNF3,ZNF674,ZNF577,ZNF835,ZNF25,ZNF813,ZNF484,ZNF26,ZNF26,ZNF214,ZNF383,ZNF180,ZNF528,ZNF677,ZNF667,ZSCAN21,ZNF189,ZNF544,ZNF836,ZNF33A,ZNF287,ZNF568,ZNF585B,ZNF235,ZNF600,ZNF74,ZNF845,ZNF700,ZNF33B,ZNF420,ZNF569,ZNF45,ZNF615,ZNF468,ZNF320,ZNF12,ZNF510,ZNF79,ZNF157,ZNF286A,ZNF146,ZNF347,ZNF286B,ZNF583,ZNF233,ZNF436,ZSCAN2,ZNF267,ZFP90,ZNF627,ZNF433,ZNF709,ZNF585A,ZNF160,ZNF471,ZFP28,ZNF548,ZNF552,ZNF391
